iter	RMSE
0	75169.44915
1	73230.7701
2	71516.30031
3	69767.44109
4	68062.14074
5	66449.73211
6	64821.60481
7	63344.25438
8	61923.98307
9	60530.29712
10	59217.40724
11	57883.99262
12	56652.89406
13	55392.26303
14	54286.98261
15	53209.51382
16	52088.22185
17	51107.81477
18	50010.33006
19	48953.45414
20	48130.53494
21	47315.67934
22	46402.53272
23	45614.34298
24	44848.42883
25	44030.96653
26	43325.43366
27	42628.12913
28	41815.81892
29	41132.1852
30	40597.60451
31	39924.92833
32	39350.01588
33	38727.38749
34	38064.0165
35	37478.94992
36	36911.46514
37	36305.31312
38	35767.34154
39	35209.74601
40	34724.81437
41	34241.79844
42	33791.03552
43	33342.43641
44	32871.01104
45	32432.44513
46	32030.29947
47	31629.43397
48	31225.3758
49	30875.50175
50	30546.62945
51	30152.42747
52	29822.24201
53	29524.32707
54	29256.71487
55	28970.59723
56	28649.25253
57	28391.50968
58	28110.32251
59	27786.87765
60	27520.95834
61	27260.59492
62	26973.52449
63	26734.83681
64	26477.25693
65	26257.97683
66	26016.6201
67	25777.99107
68	25565.48672
69	25351.60841
70	25150.60178
71	24932.07659
72	24725.83715
73	24543.78497
74	24376.60398
75	24166.20694
76	23976.77894
77	23781.54985
78	23616.80094
79	23459.82854
80	23416.42633
81	23203.46958
82	23016.45662
83	22853.9386
84	22698.67867
85	22550.18457
86	22406.62691
87	22283.97783
88	22142.59535
89	22027.09675
90	21897.66213
91	21821.39951
92	21684.06995
93	21563.98393
94	21468.04397
95	21354.55144
96	21231.39152
97	21096.69128
98	21030.26048
99	20942.78747
100	20908.03244
101	20797.51858
102	20763.4101
103	20650.57801
104	20546.58355
105	20447.10441
106	20334.83339
107	20219.13157
108	20126.51239
109	20071.71639
110	20021.07691
111	19931.34137
112	19832.44598
113	19788.01321
114	19759.91827
115	19681.51361
116	19583.01923
117	19495.89132
118	19425.78878
119	19358.42036
120	19266.19412
121	19233.30684
122	19151.45771
123	19066.64671
124	19022.70841
125	18957.43524
126	18882.01826
127	18811.27539
128	18731.66156
129	18666.04101
130	18598.8803
131	18530.70725
132	18506.65386
133	18436.01415
134	18368.33763
135	18332.50549
136	18304.13072
137	18247.74107
138	18172.96471
139	18130.71821
140	18100.17079
141	18063.04763
142	18001.14596
143	17944.44165
144	17878.66978
145	17809.07832
146	17742.91962
147	17687.13308
148	17673.51519
149	17645.78513
150	17602.65348
151	17561.23643
152	17540.97749
153	17465.998
154	17427.75807
155	17387.86212
156	17349.17306
157	17329.30835
158	17274.7978
159	17210.19632
160	17154.93048
161	17122.85569
162	17097.5594
163	17075.05313
164	17013.0907
165	16952.40899
166	16931.89844
167	16883.80486
168	16840.51675
169	16813.55721
170	16767.67245
171	16679.5349
172	16625.4364
173	16565.30634
174	16490.67861
175	16436.29297
176	16392.02487
177	16361.00936
178	16341.83909
179	16318.37028
180	16256.56202
181	16188.16524
182	16162.92335
183	16112.4869
184	16067.13926
185	16047.01794
186	16006.19042
187	15988.78927
188	15966.86441
189	15932.62042
190	15900.99154
191	15850.76237
192	15802.48586
193	15755.50828
194	15709.18385
195	15697.56715
196	15680.86569
197	15663.95834
198	15645.65637
199	15614.14993
200	15554.25021
201	15511.76992
202	15493.22201
203	15480.33059
204	15451.89437
205	15436.53482
206	15385.01409
207	15334.56637
208	15321.6379
209	15273.86006
210	15227.05144
211	15171.42297
212	15123.09203
213	15077.70911
214	15032.03724
215	14984.21947
216	14968.41619
217	14922.44175
218	14903.69657
219	14887.90308
220	14836.85417
221	14817.09449
222	14800.84935
223	14785.91626
224	14755.63274
225	14722.00239
226	14679.23437
227	14665.29249
228	14624.59973
229	14573.59812
230	14523.30533
231	14472.26654
232	14436.50098
233	14391.70633
234	14364.36492
235	14318.9276
236	14275.66047
237	14237.11192
238	14190.0422
239	14168.42582
240	14131.38431
241	14095.88884
242	14052.33966
243	14004.2188
244	13962.75474
245	13944.07181
246	13893.14588
247	13876.99933
248	13836.57643
249	13820.90999
250	13773.27414
251	13730.86561
252	13709.0404
253	13686.58206
254	13650.15927
255	13614.19306
256	13592.23162
257	13539.01556
258	13506.60692
259	13490.5016
260	13446.25609
261	13411.1381
262	13399.22756
263	13364.09565
264	13330.11178
265	13320.6227
266	13286.15493
267	13240.08137
268	13207.35557
269	13194.7061
270	13176.20382
271	13132.68143
272	13115.91611
273	13067.41191
274	13020.80734
275	13008.89638
276	12972.69216
277	12935.56122
278	12896.25908
279	12886.56956
280	12845.86321
281	12809.94477
282	12796.38899
283	12785.41499
284	12740.86784
285	12709.82871
286	12664.92457
287	12626.04273
288	12600.25573
289	12572.92269
290	12532.75423
291	12523.77061
292	12486.2705
293	12448.75497
294	12420.15094
295	12411.37094
296	12373.39002
297	12365.24023
298	12356.85536
299	12325.41018
300	12296.888
301	12269.55493
302	12255.04953
303	12247.00612
304	12236.61489
305	12228.79068
306	12221.28176
307	12192.60613
308	12160.87712
309	12153.61174
310	12140.36109
311	12128.23529
312	12116.41789
313	12105.89802
314	12088.69545
315	12067.94868
316	12039.08113
317	12015.6114
318	12009.01414
319	11999.41986
320	11969.06408
321	11935.82333
