iter	Passed	Remaining
0	427	426673
1	700	349601
2	959	318955
3	1224	304856
4	1490	296529
5	1755	290825
6	2018	286386
7	2288	283778
8	2551	280948
9	2838	280978
10	3108	279474
11	3377	278089
12	3642	276574
13	3913	275610
14	4176	274277
15	4447	273508
16	4710	272376
17	4978	271586
18	5242	270659
19	5510	270025
20	5776	269305
21	6046	268777
22	6311	268110
23	6577	267494
24	6846	267027
25	7112	266438
26	7382	266052
27	7645	265401
28	7930	265538
29	8198	265081
30	8466	264636
31	8737	264312
32	9004	263847
33	9275	263523
34	9652	266127
35	10104	270569
36	10457	272187
37	10742	271954
38	11007	271246
39	11274	270591
40	11539	269905
41	11807	269326
42	12073	268701
43	12341	268141
44	12609	267606
45	12884	267213
46	13187	267402
47	13484	267448
48	13783	267507
49	14108	268069
50	14500	269828
51	14891	271478
52	15241	272325
53	15513	271766
54	15778	271109
55	16102	271439
56	16447	272111
57	16807	272976
58	17167	273804
59	17433	273119
60	17701	272492
61	17969	271856
62	18409	273797
63	18702	273530
64	18969	272866
65	19471	275551
66	19789	275578
67	20057	274912
68	20327	274274
69	20598	273664
70	20868	273049
71	21138	272445
72	21404	271804
73	21692	271453
74	21965	270904
75	22234	270319
76	22502	269739
77	22767	269128
78	23089	269181
79	23375	268812
80	23665	268501
81	23997	268655
82	24274	268186
83	24599	268254
84	24866	267676
85	25137	267154
86	25409	266653
87	25677	266116
88	25946	265590
89	26216	265082
90	26483	264541
91	26758	264092
92	27022	263546
93	27291	263042
94	27558	262531
95	27827	262046
96	28101	261600
97	28369	261114
98	28637	260634
99	28906	260161
100	29174	259681
101	29439	259182
102	29707	258713
103	29991	258387
104	30282	258120
105	30557	257717
106	30831	257311
107	31099	256859
108	31372	256449
109	31635	255955
110	31908	255552
111	32214	255414
112	32483	254981
113	32745	254496
114	33011	254047
115	33277	253593
116	33547	253182
117	33824	252827
118	34099	252450
119	34364	252005
120	34634	251604
121	34710	249798
122	34979	249406
123	35246	249002
124	35510	248575
125	35780	248192
126	36048	247796
127	36314	247391
128	36583	247009
129	36859	246672
130	37130	246310
131	37401	245940
132	37667	245545
133	37937	245179
134	38208	244814
135	38473	244421
136	38740	244037
137	39004	243636
138	39274	243278
139	39538	242877
140	39810	242531
141	40072	242129
142	40348	241808
143	40616	241440
144	40885	241082
145	41148	240689
146	41416	240329
147	41681	239950
148	41947	239578
149	42110	238627
150	42377	238269
151	42637	237871
152	42902	237507
153	43166	237134
154	43434	236788
155	43697	236417
156	43969	236090
157	44230	235709
158	44502	235386
159	44765	235018
160	45030	234661
161	45292	234291
162	45567	233989
163	45832	233635
164	46102	233305
165	46367	232955
166	46633	232609
167	46893	232235
168	47161	231901
169	47422	231533
170	47691	231207
171	47956	230862
172	48223	230526
173	48488	230178
174	48759	229864
175	49025	229529
176	49309	229276
177	49571	228920
178	49841	228603
179	50107	228268
180	50375	227942
181	50642	227614
182	50920	227332
183	51184	226994
184	51452	226671
185	51716	226328
186	51982	225999
187	52246	225659
188	52512	225329
189	52778	225004
190	53139	225076
191	53550	225357
192	54009	225833
193	54340	225766
194	54606	225424
195	54869	225077
196	55137	224748
197	55412	224446
198	55683	224131
199	55944	223779
200	56214	223459
201	56553	223414
202	56934	223529
203	57318	223654
204	57651	223576
205	57942	223330
206	58255	223171
207	58523	222838
208	58785	222483
209	59057	222170
210	59321	221823
211	59586	221481
212	59850	221138
213	60117	220804
214	60381	220464
215	60665	220191
216	60930	219856
217	61197	219523
218	61462	219188
219	61728	218854
220	61995	218527
221	62261	218195
222	62530	217876
223	62796	217544
224	63060	217208
225	63325	216876
226	63595	216559
227	63861	216232
228	64127	215906
229	64391	215570
230	64660	215254
231	64957	215031
232	65274	214872
233	65573	214653
234	65842	214339
235	66106	214004
236	66372	213678
237	66636	213347
238	66906	213037
239	67167	212695
240	67430	212363
241	67698	212045
242	67985	211791
243	68247	211455
244	68516	211142
245	68778	210807
246	69050	210504
247	69310	210166
248	69631	210014
249	70064	210193
250	70331	209873
251	70599	209558
252	70863	209228
253	71126	208900
254	71388	208566
255	71652	208241
256	71912	207902
257	72182	207594
258	72445	207267
259	72709	206941
260	72971	206612
261	73238	206297
262	73502	205974
263	73768	205657
264	74033	205337
265	74295	205011
266	74559	204690
267	74823	204369
268	75086	204046
269	75367	203771
270	75667	203549
271	75931	203227
272	76221	202979
273	76483	202653
274	76755	202356
275	77018	202035
276	77286	201727
277	77550	201407
278	77816	201094
279	78096	200819
280	78449	200730
281	78803	200640
282	79212	200690
283	79579	200630
284	79963	200611
285	80340	200569
286	80705	200499
287	81046	200363
288	81381	200214
289	81756	200162
290	82036	199874
291	82353	199679
292	82688	199523
293	83094	199540
294	83476	199495
295	83844	199413
296	84210	199327
297	84504	199067
298	84767	198736
299	85067	198490
300	85348	198201
301	85611	197869
302	85877	197546
303	86137	197209
304	86399	196877
305	86669	196564
306	86932	196235
307	87200	195917
308	87463	195590
309	87738	195288
310	88002	194963
311	88460	195066
312	88849	195015
313	89200	194876
314	89473	194570
315	89814	194409
316	90090	194105
317	90353	193777
318	90682	193589
319	91055	193492
320	91365	193262
321	91649	192976
